TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
afternoon,19.25,54.29,82.73,617.71,431.59,753.49,704.74,638.31,1.0,7241,heating active,very bright,moderate activity
afternoon,19.36,51.42,86.92,615.15,416.65,726.7,693.92,623.69,1.0,7241,maintenance mode,bright,low activity
evening,21.91,51.42,124.91,576.13,483.46,719.69,676.75,595.01,2.0,2679,maintenance mode,very bright,low activity
afternoon,20.21,52.43,92.17,611.77,470.91,726.7,696.02,625.57,1.0,7241,heating active,bright,low activity
afternoon,20.88,51.1,87.69,613.55,466.68,739.93,691.75,631.09,1.0,7241,heating active,dim,low activity
afternoon,21.23,51.42,93.09,613.1,469.69,726.7,695.07,620.48,1.0,7241,heating active,bright,low activity
evening,19.87,50.52,113.22,581.26,432.1,709.41,669.51,595.52,2.0,6431,maintenance mode,bright,low activity
afternoon,21.09,52.71,96.59,610.21,487.57,742.8,699.0,604.73,1.0,7241,ventilation only,dim,moderate activity
afternoon,21.57,51.77,97.78,613.97,478.0,745.17,699.79,621.28,1.0,7241,ventilation only,very bright,moderate activity
afternoon,21.75,51.55,95.36,610.41,477.09,746.5,689.88,610.47,1.0,7241,heating active,bright,moderate activity
afternoon,21.68,51.42,103.22,606.97,463.9,743.05,689.74,616.5,1.0,7241,ventilation only,bright,low activity
evening,20.0,52.64,100.35,581.9,462.31,725.21,690.52,625.46,1.0,6528,eco mode,very bright,moderate activity
night,20.59,53.55,112.06,594.24,455.59,731.75,697.35,592.69,1.0,5693,eco mode,dim,low activity
afternoon,21.93,51.42,100.19,606.86,481.42,726.7,688.96,612.21,1.0,7241,ventilation only,very bright,moderate activity
evening,22.21,51.93,96.84,603.22,473.49,737.88,684.76,608.71,1.0,7241,cooling active,moderate,high activity
afternoon,18.68,52.6,122.76,592.65,459.36,748.45,698.53,627.15,1.0,4129,cooling active,bright,moderate activity
evening,22.74,51.42,101.35,606.7,481.99,738.4,682.61,607.43,1.0,7241,heating active,bright,low activity
evening,22.92,51.21,104.26,604.86,467.7,728.67,678.74,604.88,1.0,7241,cooling active,moderate,low activity
evening,23.08,50.95,103.6,605.8,475.06,738.05,682.3,603.76,1.0,7241,heating active,moderate,high activity
evening,23.7,49.71,108.18,612.99,454.82,726.7,690.5,615.6,1.0,7241,maintenance mode,very bright,moderate activity
evening,23.43,51.42,111.57,605.57,459.66,726.7,681.38,603.82,1.0,7241,ventilation only,very bright,high activity
evening,23.63,51.42,141.43,563.29,391.28,691.91,634.05,558.75,2.0,5172,heating active,very bright,moderate activity
evening,24.25,51.42,101.92,598.1,472.43,730.7,672.85,596.88,2.0,7241,heating active,dim,moderate activity
night,19.87,52.56,112.71,557.02,481.91,716.87,678.51,589.65,1.0,2847,cooling active,very bright,low activity
evening,24.19,49.11,103.74,604.31,464.26,733.92,683.17,604.24,1.0,7241,maintenance mode,very bright,moderate activity
evening,24.1,49.16,102.76,602.38,464.49,733.79,682.02,615.1,1.0,7241,off,moderate,low activity
evening,24.08,49.09,104.18,604.58,467.29,728.33,683.05,595.0,2.0,7241,ventilation only,dim,low activity
morning,19.37,57.36,116.61,598.11,474.23,726.7,680.17,611.96,2.0,7241,heating active,very bright,low activity
evening,24.5,47.59,103.87,602.01,477.57,728.99,678.9,614.44,1.0,7241,maintenance mode,moderate,moderate activity
evening,24.77,46.93,103.96,597.91,473.57,737.45,673.47,598.38,1.0,7241,ventilation only,very bright,moderate activity
evening,24.68,51.42,113.58,599.45,450.99,732.57,676.08,585.97,2.0,7241,cooling active,bright,moderate activity
evening,23.94,48.99,127.39,589.95,440.89,726.7,674.28,602.37,2.0,7241,maintenance mode,very bright,low activity
afternoon,20.66,51.42,130.31,572.36,477.0,726.7,664.92,608.93,2.0,9184,off,bright,moderate activity
evening,24.91,48.19,116.51,595.11,428.15,720.54,662.7,578.52,2.0,7241,maintenance mode,dim,low activity
evening,24.92,48.03,118.09,601.11,417.79,726.7,661.06,588.61,2.0,7241,maintenance mode,bright,low activity
night,21.0,57.79,120.21,546.37,478.82,713.24,670.89,597.22,1.0,5214,heating active,bright,low activity
afternoon,18.35,53.43,103.09,566.36,480.61,709.68,632.42,565.37,1.0,7058,maintenance mode,very bright,low activity
evening,24.63,48.57,123.46,601.1,407.89,709.44,662.95,576.78,3.0,7241,maintenance mode,very bright,low activity
evening,23.96,50.52,142.7,546.69,435.34,697.22,645.93,594.2,1.0,9385,off,moderate,low activity
evening,23.22,51.42,121.84,597.36,415.44,719.36,659.73,579.41,3.0,7241,maintenance mode,bright,low activity
evening,22.35,53.17,119.07,593.89,415.87,719.3,665.41,585.05,3.0,7241,eco mode,bright,low activity
evening,19.68,50.01,123.28,592.99,483.42,706.8,658.89,554.69,1.0,6847,off,very bright,moderate activity
evening,22.21,53.22,123.41,593.88,429.39,720.29,659.25,601.76,3.0,7241,eco mode,very bright,low activity
evening,21.53,51.42,118.42,593.72,430.25,721.69,665.33,586.12,3.0,7241,off,very bright,low activity
evening,21.78,54.45,118.66,594.33,436.87,726.24,668.06,596.04,3.0,7241,ventilation only,moderate,low activity
evening,21.76,54.56,108.5,595.12,433.78,720.91,676.09,583.71,3.0,7241,cooling active,moderate,low activity
evening,21.35,55.62,108.0,601.31,420.72,724.33,661.88,597.16,1.0,7241,eco mode,very bright,low activity
evening,21.16,55.76,107.38,602.47,436.83,726.7,668.45,601.09,3.0,7241,heating active,bright,low activity
afternoon,23.62,46.37,113.93,582.38,445.81,726.7,668.24,613.45,1.0,4507,heating active,very bright,high activity
morning,18.63,53.7,120.52,592.7,453.39,726.7,698.51,636.75,1.0,6847,cooling active,very dim,low activity
afternoon,19.43,57.72,105.62,559.73,535.39,728.63,664.71,601.35,1.0,8936,cooling active,very bright,low activity
night,19.9,49.2,116.29,597.39,443.82,741.67,693.7,614.9,1.0,2105,heating active,bright,moderate activity
night,20.91,55.97,107.39,604.7,422.89,721.65,673.3,604.38,3.0,7241,heating active,very bright,low activity
night,20.81,55.89,105.45,606.57,439.85,727.03,667.44,614.16,3.0,7241,ventilation only,bright,low activity
night,20.89,55.69,112.69,606.54,437.11,735.21,688.53,599.96,3.0,7241,off,very bright,low activity
night,20.94,55.52,112.72,598.92,426.91,726.21,677.0,601.7,3.0,7241,ventilation only,dim,low activity
night,20.74,55.97,103.41,597.49,424.41,717.5,675.13,609.07,3.0,7241,heating active,very bright,low activity
evening,22.73,50.64,123.65,556.98,457.05,726.7,645.75,573.9,2.0,7058,cooling active,very bright,low activity
morning,18.66,49.74,128.87,575.8,475.43,716.56,667.52,589.09,2.0,9184,ventilation only,very bright,low activity
night,21.42,52.45,121.6,571.89,380.21,684.66,645.78,549.15,2.0,7395,cooling active,moderate,low activity
evening,25.16,46.81,116.69,566.75,410.7,702.67,654.69,565.48,2.0,7395,ventilation only,very bright,low activity
night,20.63,56.16,111.24,598.67,438.41,732.05,675.05,598.57,3.0,7241,eco mode,moderate,low activity
night,20.52,56.48,108.75,601.48,433.35,722.11,662.14,600.02,1.0,7241,off,bright,low activity
night,20.43,56.6,110.95,600.07,434.74,731.27,674.68,598.28,3.0,7241,heating active,moderate,low activity
night,20.39,56.53,105.61,596.26,423.53,733.34,667.54,601.55,3.0,7241,eco mode,very dim,low activity
night,20.69,58.24,119.07,546.63,472.5,715.45,675.03,600.97,1.0,8936,off,bright,low activity
night,20.45,56.3,113.29,597.42,445.81,727.75,674.67,603.6,1.0,7241,off,very bright,low activity
afternoon,20.72,50.69,105.91,582.95,458.68,738.14,691.27,628.73,1.0,4507,heating active,very bright,moderate activity
night,18.44,51.42,113.92,590.5,491.91,759.61,709.31,653.56,1.0,1374,maintenance mode,very bright,low activity
evening,24.29,49.72,141.86,561.23,391.3,683.98,633.59,542.15,2.0,5172,heating active,very bright,low activity
morning,17.66,44.92,99.22,603.35,446.52,758.04,723.58,659.96,0.0,3418,heating active,very dim,low activity
afternoon,22.02,49.65,122.97,578.5,462.7,714.39,666.43,601.48,2.0,9184,eco mode,very bright,low activity
night,20.24,51.42,104.71,600.06,449.52,726.7,680.85,596.94,3.0,7241,cooling active,bright,low activity
night,20.31,55.74,141.1,554.98,397.31,710.94,665.64,579.36,2.0,8649,cooling active,bright,low activity
night,20.22,56.7,112.68,597.96,444.96,720.13,674.93,596.57,3.0,7241,heating active,very dim,low activity
night,20.21,56.79,115.05,595.41,449.07,730.72,673.58,597.19,3.0,7241,ventilation only,very bright,low activity
evening,22.56,44.84,128.43,578.05,484.07,709.25,673.52,603.17,2.0,2679,maintenance mode,bright,low activity
night,19.42,48.75,116.65,586.99,457.52,731.57,695.05,636.85,1.0,6431,eco mode,very bright,high activity
afternoon,23.64,51.42,88.77,609.14,420.42,734.45,687.08,626.37,1.0,1482,maintenance mode,moderate,low activity
night,20.15,56.69,106.97,597.0,445.34,726.7,675.84,590.15,3.0,7241,eco mode,dim,low activity
night,20.15,56.69,111.28,600.02,443.18,716.18,668.42,598.85,3.0,7241,off,very bright,moderate activity
night,20.13,56.69,106.23,597.55,453.11,724.73,686.38,601.83,3.0,7241,maintenance mode,very bright,low activity
night,20.04,56.91,111.89,602.34,446.84,729.72,675.27,585.44,3.0,7241,heating active,bright,low activity
night,20.08,56.72,109.88,599.96,440.85,725.75,678.03,601.04,3.0,7241,heating active,bright,high activity
morning,19.0,57.3,139.39,560.29,410.35,724.48,681.13,597.36,1.0,8649,eco mode,very bright,high activity
night,20.03,56.82,115.1,595.69,449.88,722.01,679.4,605.13,3.0,7241,cooling active,very dim,high activity
night,20.15,51.42,110.61,599.12,452.81,721.9,680.72,606.49,3.0,7241,eco mode,very bright,low activity
night,19.84,56.94,116.32,599.17,427.45,726.25,674.76,595.03,3.0,7241,off,very bright,high activity
night,19.81,57.03,111.5,595.04,448.23,731.72,679.48,623.79,1.0,7241,eco mode,very bright,low activity
night,19.8,51.42,111.09,592.28,457.26,725.54,678.87,611.41,3.0,7241,ventilation only,bright,high activity
night,19.86,56.93,110.52,598.55,462.07,729.63,683.91,611.85,3.0,7241,off,moderate,moderate activity
morning,16.71,49.82,109.96,575.59,508.47,749.52,704.78,648.15,2.0,8052,off,bright,moderate activity
morning,19.78,51.44,80.86,616.13,484.67,758.79,710.3,651.09,1.0,3856,ventilation only,moderate,low activity
night,19.79,57.06,111.75,598.97,469.59,732.06,678.97,611.86,2.0,7241,off,very bright,high activity
afternoon,19.61,46.88,84.65,592.73,443.02,725.32,675.18,604.28,1.0,6431,ventilation only,very bright,low activity
night,19.81,57.07,108.49,600.14,454.34,726.67,676.47,607.72,2.0,7241,ventilation only,bright,moderate activity
night,19.86,56.82,116.84,598.8,460.03,726.7,680.72,613.27,2.0,7241,heating active,bright,low activity
night,19.77,57.08,119.54,596.35,449.78,726.7,688.12,601.09,2.0,7241,eco mode,very bright,low activity
evening,23.26,50.85,111.51,548.26,469.44,730.67,685.27,628.76,1.0,9241,heating active,very bright,moderate activity
night,19.72,57.16,114.51,598.15,447.35,724.34,678.36,598.87,2.0,7241,off,bright,high activity
afternoon,23.64,49.12,112.32,540.0,470.5,724.22,631.04,577.64,3.0,4703,ventilation only,moderate,low activity
night,19.7,57.24,116.84,598.19,464.01,726.7,691.54,595.31,2.0,7241,ventilation only,bright,high activity
night,19.68,57.28,112.97,597.2,457.35,725.38,675.43,601.97,2.0,7241,eco mode,bright,moderate activity
night,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,1.0,5820,ventilation only,moderate,high activity
night,19.64,57.32,113.42,597.49,451.28,731.5,686.69,608.97,1.0,7241,cooling active,very bright,high activity
night,19.64,57.27,120.16,596.12,461.84,731.18,676.55,619.84,2.0,7241,ventilation only,very bright,high activity
afternoon,24.04,53.41,115.94,549.9,482.19,691.0,648.31,584.83,1.0,8936,heating active,bright,low activity
morning,19.65,57.13,118.04,600.49,463.1,733.1,681.9,611.41,2.0,7241,eco mode,bright,high activity
morning,19.63,57.03,112.82,595.48,454.81,732.99,684.45,607.26,2.0,7241,heating active,moderate,low activity
morning,19.67,56.89,111.07,601.49,450.96,739.69,684.77,610.69,2.0,7241,heating active,moderate,moderate activity
afternoon,23.36,51.44,111.0,549.15,480.8,707.27,671.53,592.53,1.0,7058,eco mode,very bright,low activity
morning,19.66,51.42,115.6,598.97,461.08,731.95,679.71,616.19,2.0,7241,eco mode,dim,moderate activity
morning,19.52,56.93,113.33,595.28,468.93,728.96,688.61,622.04,2.0,7241,heating active,moderate,moderate activity
night,20.24,55.38,141.19,575.12,443.12,707.57,660.09,596.43,1.0,4507,heating active,moderate,low activity
morning,19.42,57.26,108.09,602.04,474.42,739.55,683.65,618.42,1.0,7241,cooling active,very bright,moderate activity
evening,23.2,50.01,102.19,570.89,449.71,707.54,659.82,596.21,2.0,6528,off,very bright,low activity
morning,19.41,57.26,113.86,597.46,472.0,726.7,675.35,619.55,2.0,7241,cooling active,bright,low activity
morning,19.42,51.42,112.56,593.85,470.39,738.41,698.61,614.99,2.0,7241,ventilation only,very bright,high activity
morning,19.54,56.84,119.48,598.52,479.97,734.51,680.37,626.01,1.0,7241,eco mode,moderate,moderate activity
morning,19.45,56.96,113.52,605.88,460.27,734.93,688.64,612.05,2.0,7241,heating active,bright,high activity
morning,19.45,51.42,118.66,600.57,470.77,737.03,692.42,616.48,2.0,7241,heating active,very bright,high activity
evening,23.43,51.42,90.94,604.71,510.08,726.7,703.06,636.32,1.0,5693,eco mode,bright,moderate activity
evening,24.11,48.51,120.22,575.78,455.03,717.43,665.87,602.93,2.0,7395,eco mode,moderate,high activity
morning,19.44,56.88,112.5,600.14,472.7,744.36,694.65,618.8,2.0,7241,off,very bright,high activity
night,20.89,51.42,95.83,548.24,480.42,729.08,665.28,580.15,1.0,4703,maintenance mode,moderate,low activity
morning,19.01,48.24,93.73,612.08,515.06,726.7,732.87,670.87,2.0,7241,ventilation only,very bright,low activity
morning,18.88,48.26,90.23,611.36,515.17,726.7,731.94,668.57,2.0,7241,ventilation only,very bright,moderate activity
afternoon,19.94,50.71,99.58,560.67,462.36,743.89,701.0,646.58,1.0,2847,cooling active,moderate,low activity
afternoon,18.38,52.94,115.79,593.18,422.94,729.0,689.27,598.44,1.0,2105,maintenance mode,bright,low activity
night,20.83,54.83,149.24,566.14,438.0,709.58,641.78,579.34,2.0,9184,heating active,moderate,low activity
afternoon,19.02,51.51,100.76,565.95,491.38,748.33,715.46,654.99,1.0,2847,eco mode,moderate,high activity
morning,16.54,50.49,102.11,596.06,495.8,726.7,635.12,565.37,0.0,5820,cooling active,very bright,low activity
morning,19.35,48.79,81.79,614.65,521.93,770.48,727.81,671.02,1.0,3856,ventilation only,bright,moderate activity
morning,19.32,54.95,77.22,585.68,539.61,748.84,711.73,622.34,1.0,6528,heating active,dim,low activity
morning,19.86,48.97,88.0,614.92,508.43,757.5,720.34,664.62,1.0,3856,eco mode,very bright,low activity
evening,23.3,45.28,127.34,578.22,440.47,721.97,671.68,613.51,2.0,6431,maintenance mode,very dim,low activity
night,19.81,52.77,127.28,585.85,433.76,724.2,680.54,598.99,1.0,6847,heating active,bright,moderate activity
morning,19.88,49.77,93.24,613.72,501.81,726.7,719.56,657.37,1.0,3856,heating active,very bright,moderate activity
evening,22.47,47.47,122.55,589.42,406.46,707.95,671.65,567.36,1.0,6847,maintenance mode,very bright,low activity
afternoon,21.17,47.01,109.16,581.63,439.33,712.35,669.7,608.18,2.0,6431,eco mode,dim,low activity
morning,19.21,52.01,95.69,612.37,508.54,755.85,706.29,645.1,1.0,3856,ventilation only,bright,low activity
morning,19.79,51.31,85.5,618.08,487.72,757.48,705.14,656.95,1.0,3856,eco mode,bright,moderate activity
night,21.22,51.42,107.59,547.48,516.01,721.0,673.05,598.98,1.0,6817,heating active,moderate,moderate activity
morning,20.02,51.34,91.05,608.88,497.1,751.59,709.61,638.47,1.0,3856,off,bright,moderate activity
morning,19.72,52.2,89.8,611.03,496.43,753.54,714.36,638.41,1.0,3856,off,bright,moderate activity
evening,21.81,46.56,138.68,569.68,450.81,713.91,667.07,586.87,1.0,2679,ventilation only,moderate,low activity
afternoon,19.4,53.3,87.41,610.31,476.34,754.98,702.08,627.44,2.0,3856,off,very bright,low activity
evening,23.49,51.42,129.18,551.31,448.2,715.2,659.62,593.43,1.0,9385,ventilation only,very bright,low activity
evening,23.85,49.85,119.72,542.75,446.02,728.6,671.3,617.76,1.0,4703,cooling active,very dim,low activity
afternoon,18.72,53.71,75.56,617.11,540.78,758.01,728.92,657.45,1.0,3856,cooling active,very bright,moderate activity
afternoon,19.04,53.34,79.01,614.77,503.05,761.39,717.7,624.52,1.0,3856,maintenance mode,dim,low activity
afternoon,19.0,53.36,90.75,612.82,495.46,754.91,709.58,635.68,1.0,3856,off,moderate,low activity
afternoon,18.84,54.3,94.73,608.43,460.24,745.8,700.76,634.08,2.0,3856,heating active,bright,moderate activity
afternoon,18.84,51.42,99.16,605.57,449.74,754.81,697.37,636.18,1.0,3856,eco mode,very bright,moderate activity
afternoon,18.91,53.29,84.62,613.36,488.85,764.19,731.21,654.47,1.0,3856,heating active,very bright,low activity
night,21.39,53.67,124.47,561.24,423.76,698.79,664.57,591.08,2.0,9385,cooling active,bright,low activity
afternoon,20.4,51.42,78.37,622.48,508.81,768.41,717.93,668.37,1.0,3856,off,very bright,moderate activity
afternoon,20.64,50.92,81.98,609.42,528.0,761.3,717.94,651.45,1.0,3856,ventilation only,very bright,low activity
evening,22.64,51.42,120.17,590.9,465.97,726.7,676.96,610.58,1.0,1374,off,moderate,moderate activity
afternoon,20.04,52.63,86.67,614.7,505.35,750.9,715.22,652.77,1.0,3856,heating active,moderate,low activity
afternoon,20.2,52.27,83.08,609.96,502.07,749.25,707.95,657.03,1.0,3856,maintenance mode,very bright,moderate activity
afternoon,20.69,51.38,85.53,611.33,512.6,761.74,710.21,658.34,1.0,3856,heating active,bright,high activity
afternoon,20.34,52.2,85.03,612.1,515.17,758.15,701.03,650.1,1.0,3856,maintenance mode,bright,moderate activity
afternoon,20.22,51.42,91.37,616.76,510.63,751.1,696.96,649.9,1.0,3856,ventilation only,very dim,low activity
night,22.06,51.42,123.7,546.7,434.27,726.7,645.94,562.74,3.0,9385,ventilation only,moderate,low activity
afternoon,20.6,55.01,128.02,552.32,433.79,689.42,623.44,565.79,2.0,7058,cooling active,very bright,low activity
afternoon,20.45,52.49,94.8,599.87,505.87,726.7,704.05,640.6,1.0,3856,maintenance mode,very bright,moderate activity
afternoon,17.95,52.7,101.72,594.05,474.63,741.42,700.18,644.12,1.0,9658,heating active,bright,low activity
afternoon,20.07,53.62,96.45,605.76,496.25,726.7,705.25,638.36,1.0,3856,cooling active,very bright,high activity
afternoon,20.03,53.67,99.66,608.14,494.96,740.67,711.17,637.67,1.0,3856,heating active,moderate,high activity
evening,22.08,51.42,103.74,543.93,464.07,713.47,640.08,570.5,1.0,4703,maintenance mode,bright,low activity
morning,18.85,48.06,76.88,574.14,555.42,763.88,732.56,678.7,1.0,2847,cooling active,moderate,moderate activity
afternoon,19.17,52.0,76.93,615.57,534.81,726.7,726.52,656.36,1.0,3856,cooling active,very bright,high activity
night,20.02,45.49,115.04,586.06,446.73,726.7,664.92,606.97,3.0,8052,heating active,bright,low activity
afternoon,18.71,53.05,76.24,620.51,531.23,756.85,712.23,654.72,1.0,3856,cooling active,bright,moderate activity
afternoon,18.83,53.04,78.34,618.73,513.21,755.08,714.53,650.46,1.0,3856,heating active,moderate,moderate activity
afternoon,18.94,53.18,76.64,617.59,519.56,764.21,715.18,648.01,1.0,3856,heating active,bright,moderate activity
morning,20.16,51.42,77.29,597.04,535.37,750.25,711.48,647.79,0.0,4507,maintenance mode,moderate,high activity
afternoon,21.05,49.44,83.17,614.26,506.75,750.55,711.44,640.21,1.0,3856,cooling active,very bright,moderate activity
afternoon,21.26,48.92,86.47,614.35,494.68,753.12,703.15,634.16,1.0,3856,cooling active,very dim,low activity
afternoon,18.27,53.64,79.42,595.93,532.98,755.4,719.29,658.78,1.0,5172,eco mode,moderate,moderate activity
afternoon,21.78,48.84,89.69,611.14,503.06,747.38,693.36,636.56,1.0,3856,cooling active,bright,high activity
afternoon,22.42,48.63,91.04,607.64,501.43,726.7,689.68,628.16,1.0,3856,eco mode,moderate,low activity
evening,22.53,48.56,83.63,606.55,511.08,737.6,694.92,617.67,1.0,3856,cooling active,very bright,high activity
evening,22.66,48.62,90.47,606.54,490.24,726.7,690.49,629.22,1.0,3856,heating active,moderate,low activity
evening,24.48,49.23,110.89,594.61,450.68,701.58,670.65,579.03,1.0,9127,eco mode,moderate,low activity
night,17.8,48.83,114.44,585.66,476.89,730.3,681.6,616.26,3.0,8052,ventilation only,very bright,high activity
night,20.65,47.85,108.66,591.54,372.42,701.46,631.84,536.8,2.0,3418,ventilation only,very bright,low activity
night,21.26,57.47,117.54,543.29,459.45,713.63,668.83,612.59,1.0,5214,heating active,very bright,low activity
evening,23.5,51.42,95.68,606.93,481.94,735.82,701.76,610.95,1.0,3856,eco mode,very bright,moderate activity
afternoon,23.33,54.06,116.88,551.72,474.12,704.0,645.25,585.74,1.0,8936,eco mode,very bright,low activity
evening,23.9,47.23,93.56,604.31,495.16,741.53,684.88,611.61,1.0,3856,eco mode,very bright,low activity
evening,24.18,51.42,98.04,599.03,496.54,726.7,686.42,620.26,1.0,3856,cooling active,dim,moderate activity
evening,24.28,46.57,95.73,606.71,492.8,735.32,679.26,614.45,1.0,3856,cooling active,bright,high activity
evening,24.51,46.34,98.43,600.81,494.75,726.7,681.41,606.44,1.0,3856,ventilation only,very bright,high activity
evening,24.37,46.79,99.35,602.35,486.6,739.85,681.07,615.31,1.0,3856,heating active,moderate,moderate activity
evening,24.57,46.39,87.15,607.06,489.14,726.7,689.11,610.45,1.0,3856,cooling active,very bright,low activity
evening,24.35,46.98,104.63,603.55,492.71,728.47,672.49,615.41,1.0,3856,off,very bright,moderate activity
evening,24.32,47.06,106.66,601.4,488.45,726.7,680.92,613.26,1.0,3856,maintenance mode,bright,low activity
night,19.04,51.65,116.75,591.74,476.3,747.54,713.25,646.27,1.0,9658,ventilation only,very bright,low activity
evening,24.08,47.79,101.13,599.76,491.75,735.43,682.69,615.15,1.0,3856,cooling active,very bright,moderate activity
evening,24.19,47.9,99.03,603.02,483.28,725.24,691.56,595.64,1.0,3856,heating active,very bright,moderate activity
evening,24.69,47.63,107.71,593.48,487.27,727.19,678.12,613.11,1.0,3856,off,moderate,moderate activity
morning,20.04,56.73,128.74,560.36,418.46,726.7,650.77,598.27,2.0,9385,eco mode,very bright,low activity
morning,18.86,48.97,78.51,598.45,502.93,745.04,719.15,639.75,1.0,7395,heating active,dim,moderate activity
evening,25.32,46.53,113.1,572.38,444.39,718.92,668.9,610.02,1.0,4507,eco mode,moderate,low activity
evening,24.97,46.87,100.4,599.06,376.88,726.7,673.51,598.53,2.0,3856,maintenance mode,very bright,low activity
evening,20.25,45.56,97.2,598.4,516.57,741.13,701.8,635.23,1.0,8052,maintenance mode,bright,high activity
afternoon,22.29,46.73,82.12,560.7,481.19,748.96,701.46,652.74,0.0,4703,cooling active,bright,moderate activity
